HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_FacilitiesInApt,SalePrice,TimeToSubway_min,Age,Size_m2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,179646,7.5,20,53.140516
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,163716,12.5,39,105.07329299999999
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,103663,2.5,12,39.576678
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,151327,7.5,20,69.026929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,202654,7.5,20,109.997152
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,247787,2.5,17,84.913342
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,159292,30.0,16,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,279646,2.5,18,80.639804
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,119469,2.5,47,83.891409
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,268849,2.5,18,131.829357
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,265486,2.5,18,131.829357
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,213274,2.5,18,102.472009
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,107345,2.5,12,39.576678
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,349557,2.5,18,80.639804
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,245132,2.5,18,129.506782
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,221238,2.5,18,80.639804
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,132743,17.5,28,59.829532
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,369026,7.5,10,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,144247,17.5,32,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,216814,12.5,39,127.927431
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,161946,7.5,20,84.913342
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,150442,2.5,19,75.994654
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,128318,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,141592,2.5,19,75.994654
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,243362,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,212389,17.5,33,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,227433,2.5,17,77.016587
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,92920,7.5,39,84.54173
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,278761,30.0,16,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,341592,2.5,18,134.523544
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,194690,12.5,39,105.07329299999999
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,265486,2.5,18,80.639804
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,296460,12.5,19,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,260176,17.5,32,119.659064
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,371681,2.5,19,133.501611
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,415929,2.5,18,179.116984
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,338938,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,252212,2.5,17,108.417801
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,92920,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,79646,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,305309,2.5,17,77.016587
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,307079,2.5,19,83.891409
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,75221,12.5,33,59.45792
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,78318,17.5,33,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,194690,17.5,32,84.913342
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,64601,17.5,28,51.839874
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,117699,2.5,47,83.891409
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,96460,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,219469,2.5,17,77.016587
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,98230,17.5,32,59.829532
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,89380,17.5,33,59.829532
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,274336,2.5,18,102.472009
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,98477,2.5,12,39.576678
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,191938,30.0,16,107.76748
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,212389,17.5,32,217.114311
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,265442,30.0,16,107.76748
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,261061,17.5,32,119.659064
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,284955,2.5,19,75.994654
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,283185,17.5,32,217.114311
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,192920,17.5,32,134.802253
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,137168,17.5,33,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,287610,12.5,19,84.54173
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,347787,2.5,18,123.932602
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,398230,2.5,18,141.119657
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,194690,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,92920,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,92035,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,147761,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,256637,12.5,39,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,349557,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,196460,2.5,19,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,146017,12.5,19,84.54173
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,198230,7.5,20,69.026929
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,393805,7.5,10,84.54173
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,200318,30.0,16,84.54173
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,198451,30.0,16,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,237610,2.5,18,80.639804
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,149557,12.5,39,121.981639
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,143238,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,265486,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,448672,2.5,19,161.929929
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,214601,2.5,18,102.472009
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,238938,2.5,19,83.891409
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,252212,2.5,18,131.829357
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,300000,7.5,20,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,199115,7.5,20,69.026929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,260176,7.5,20,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,530973,2.5,18,152.63962899999999
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,251327,7.5,20,84.913342
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,358407,2.5,11,84.54173
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,73053,7.5,20,53.140516
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,225663,12.5,39,121.981639
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,115044,17.5,32,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,309734,2.5,18,80.639804
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,238938,17.5,32,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,147761,2.5,12,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,150442,12.5,39,105.07329299999999
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,252212,7.5,20,69.026929
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,277876,2.5,18,131.829357
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,114159,17.5,28,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,238053,2.5,17,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,66371,12.5,33,59.45792
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,190265,12.5,39,127.927431
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,68141,12.5,33,59.829532
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,316371,2.5,17,84.913342
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,318584,2.5,18,131.829357
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,292035,2.5,17,77.016587
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,209442,2.5,18,129.506782
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,173893,7.5,20,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,135840,7.5,20,69.026929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,73053,7.5,20,53.140516
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,433628,2.5,18,152.63962899999999
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,442477,2.5,18,137.775149
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,192035,7.5,20,69.026929
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,97345,7.5,39,47.194724
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,172566,12.5,19,84.54173
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,105840,7.5,11,26.756064
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,35398,12.5,33,32.980565
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,210619,2.5,18,102.472009
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,392035,7.5,10,84.54173
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,307079,12.5,19,84.54173
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,269911,7.5,20,84.913342
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,446902,2.5,11,116.314556
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,38053,12.5,33,32.980565
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,250442,2.5,18,131.829357
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,146256,2.5,12,59.829532
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,115044,2.5,47,83.891409
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,191938,30.0,16,107.76748
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,97345,12.5,19,59.086308
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,183185,12.5,19,84.54173
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,52212,12.5,33,32.980565
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,169026,2.5,17,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,134513,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,117699,17.5,32,59.829532
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,337168,2.5,18,137.775149
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,119469,7.5,20,53.140516
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,265486,2.5,19,110.740376
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,345132,2.5,18,157.00607
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,124778,7.5,20,53.140516
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,92035,17.5,32,59.829532
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,267256,2.5,11,59.45792
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,250176,2.5,12,84.263021
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,128318,17.5,28,51.839874
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,86725,12.5,33,32.980565
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,265486,2.5,18,134.523544
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,242477,2.5,19,84.913342
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,101769,17.5,33,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,230088,7.5,20,69.026929
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,159292,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,234513,2.5,19,133.501611
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,226548,2.5,19,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,383185,2.5,18,137.775149
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75920,7.5,20,53.140516
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,53097,7.5,40,54.534061
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,185840,12.5,39,127.927431
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,371681,2.5,18,137.775149
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,73840,7.5,20,53.140516
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,247787,12.5,39,105.07329299999999
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,386725,7.5,10,84.54173
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,243362,30.0,16,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,240707,2.5,18,80.639804
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,112831,7.5,40,54.534061
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,178761,2.5,17,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,428318,2.5,18,152.63962899999999
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,181858,2.5,19,75.994654
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,256637,2.5,17,84.913342
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,163716,30.0,16,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,128318,17.5,32,59.829532
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,345132,2.5,18,102.472009
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75920,7.5,20,53.140516
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,265486,7.5,20,84.913342
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,75221,17.5,28,59.829532
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,296460,2.5,18,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,327433,2.5,12,84.54173
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,201566,30.0,16,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,464601,2.5,18,128.856461
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,168141,7.5,20,84.913342
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,48672,7.5,40,54.534061
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,55752,7.5,40,54.534061
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,191938,30.0,16,107.76748
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,161061,17.5,33,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,433628,2.5,18,128.856461
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,371681,2.5,11,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,203539,2.5,18,80.639804
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,106194,7.5,39,47.194724
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,287610,2.5,19,106.745547
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,420353,2.5,18,128.856461
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,100000,12.5,33,53.512128
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,146256,2.5,12,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,167256,7.5,20,69.026929
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,383185,2.5,18,137.775149
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,286902,2.5,18,129.506782
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,262831,30.0,16,107.76748
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,84955,17.5,32,59.829532
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,187610,2.5,19,83.891409
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,191150,2.5,19,84.913342
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,228318,2.5,19,83.891409
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,373893,2.5,18,141.119657
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,249557,7.5,20,69.026929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,141592,7.5,20,69.026929
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,323008,2.5,18,134.523544
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,265486,12.5,19,75.344333
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,526548,2.5,18,141.119657
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,198451,30.0,16,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,191150,17.5,32,134.802253
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,187610,12.5,39,105.07329299999999
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,327433,7.5,20,109.997152
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,65044,7.5,11,14.492868
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,167256,30.0,16,84.54173
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,79646,17.5,33,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,115044,12.5,33,59.45792
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,234513,7.5,20,69.026929
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,63716,12.5,33,59.45792
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,37168,12.5,33,32.980565
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,44690,7.5,40,46.265693999999996
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,178761,12.5,39,121.981639
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,345132,2.5,12,84.54173
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,238938,30.0,16,107.76748
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,330088,2.5,11,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,158407,7.5,20,53.140516
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,73840,7.5,20,53.140516
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,79646,17.5,32,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,318584,12.5,19,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,360176,2.5,18,152.63962899999999
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,57522,7.5,39,47.194724
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,53982,7.5,39,41.899253
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,70796,17.5,28,51.839874
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,184070,17.5,32,134.802253
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,57522,7.5,40,54.534061
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,162831,7.5,20,69.026929
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,318584,2.5,17,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,491150,2.5,18,141.119657
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,57522,7.5,40,54.534061
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,305309,2.5,18,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,274336,12.5,19,75.623042
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,181415,17.5,32,134.802253
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,260176,2.5,17,77.016587
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,56637,7.5,39,47.194724
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,179646,12.5,19,84.54173
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,44247,12.5,33,53.512128
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,146902,7.5,20,69.026929
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,210619,2.5,17,77.016587
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,212389,2.5,18,129.506782
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,393805,2.5,18,137.775149
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,268141,2.5,18,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,168141,7.5,20,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,85840,12.5,33,53.512128
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,150778,2.5,12,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,119469,12.5,33,59.45792
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,150778,2.5,12,59.829532
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,221238,2.5,17,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,281858,2.5,17,108.417801
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,39823,12.5,33,32.980565
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,279646,2.5,18,131.829357
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,150778,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,250176,2.5,12,84.263021
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,100884,7.5,11,26.756064
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,362831,2.5,18,128.856461
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,242300,2.5,19,110.740376
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,402654,2.5,18,126.905498
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,150442,12.5,39,105.07329299999999
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,261061,7.5,20,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,191150,7.5,20,53.140516
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,252212,12.5,19,84.54173
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,253982,2.5,17,108.417801
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,104867,17.5,32,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,158407,12.5,39,105.07329299999999
